id,company_id,opportunities_ranking,comp_benefits_ranking,culture_values_ranking,overall_ranking,senior_management_ranking,worklife_balance_ranking,ceo_approval_ranking,company_outlook_ranking,recommend
3,12305,4.6,4.8,5,5,4.8,4.6,0,1,1
5,2427,5,4.5,5,5,5,5,0.5,1,1
6,65,3.6,4.2,4.6,4,3,3.4,1.2,1.2,1.25
7,933,0,0,0,4,0,0,0,0,0
8,4092,4.5,4,4.5,4.5,4.5,3.5,0,2,1
9,1548,2,3,2,3,2,5,3,3,2
10,6189,4.5,4.25,4,4.5,4,4.5,0,1,1
12,222,3.4,3.4,3.8,3.8,3.4,4,1.2,1,1.4
13,65,2.6,2.8,2.6,3.4,2.6,2.8,0.8,1.2,1.25
19,565,2.8,2.6,2.8,3.2,2.8,2.6,1.2,1.4,1.25
20,867,2.5,2.5,4.5,4.5,4,3.5,1,1,1
21,20177,5,4,5,5,5,5,0,1,1
25,540,2,2.4,2.8,3.8,1.6,3.4,2,1.2,1.25
26,4129,4.6,4,5,5,4.8,4.8,1,1,1
27,8256,3.8,3.2,4.8,4.8,4.6,5,1,1,1
33,2122,3.4,2.4,3.2,3.2,2.4,2.8,1.4,1.6,1.25
35,13927,3.4,4.8,4.4,4.8,4.4,4.6,1.2,1,1.2
36,7997,5,4.75,5,5,5,4.75,1.25,1,1
37,9667,3.25,4.5,5,4.25,3.75,4.75,0.75,0.75,1
39,7018,3.666666667,2.666666667,3.666666667,4,2,2.666666667,1,1,1
40,17572,4,3.5,4,4,3.5,4,2,1.5,1.5
41,3599,4,3.5,4.5,4,3,3.5,0.5,1,1.5
42,28808,1.8,3,2.6,2.8,1.8,2,1.4,1.8,1.8
43,3674,4.2,4.6,4.2,4.2,3.6,3,1,1.2,1.2
45,6899,2.5,2.5,2.5,5,2.5,0,0,0.5,1
47,3452,4.6,5,5,4.8,4.8,4.6,1,1,1
48,488,4.4,4.4,4.6,4.8,4.2,4.2,1.4,1.4,1.2
49,158,4.6,4.6,4.8,4.6,4.8,4.4,0.8,0.8,1
50,1914,2.8,4,3,3.8,2,3.6,1.2,1.8,1.2
52,10188,2.5,3.5,3,3,3,3,2,2.5,1.5
53,974,2.6,3.2,2.6,4.2,3.6,3.6,1.2,1,1.2
60,2223,4.2,4.2,4.8,4.6,4.4,4.6,1.4,1.2,1
61,6547,4,3,4,4,4,4,1,2,1
62,7822,5,5,5,5,5,4,1,1,2
66,6058,3,3,2.4,3.8,2.6,3,1.2,1.2,1.25
68,172,3.2,3,3.4,4.2,2.8,3.2,0.4,0.8,1.25
69,89,2,3,2,2,1,4,3,3,2
71,1538,3.6,2.8,3.8,3.8,3.4,3.8,1.4,1.4,1.2
73,27028,3.8,3.4,3.8,4,3.4,4.6,1,1.2,1.2
74,6230,3.4,3.4,3,4.8,3,3.4,2,0.8,1
76,8645,4,4,4,3.6,3.4,3.6,2,1.6,1.2
77,626,4.4,3.8,4.2,4.2,3.6,3.8,1.8,1,1
81,21114,2,1.5,1.5,4,1.5,1.5,0,0.5,1
82,751,4,4,5,5,2,2,3,1,1
83,175,3.6,3.8,3.8,4,3.4,4,1,1.6,1.4
85,8185,3.4,4,3.6,3.6,2.8,4,2.2,1.4,1
86,379,3.8,2.6,4.4,4,4.2,4,1,0.6,1.25
88,22160,3.4,3.4,2.8,2.8,1.8,3,0,1.6,1.5
90,8494,2.8,2.6,2.4,3.4,2.8,3.6,1,1.2,1.25
91,3845,3.8,4.4,3.6,4.4,3.4,4.4,2.2,1.2,1
92,7509,3,4.2,3.8,4,2.6,3,0.8,1,1.666666667
93,5397,1.4,2.2,2,3,1.8,2.4,2,1.6,1.5
97,2004,2.5,3,5,5,4,5,1.5,0.5,1
98,6730,3,3.5,3,3.5,3,3,1,1.5,1.5
102,5,4.2,3.8,4,3.6,3.4,3.8,1.2,1,1.2
104,65,4,3.6,3.4,3.8,3,3.2,0.8,1.4,1.2
105,207,4.2,3.2,4.4,4.8,4,4.6,1.2,0.8,1
108,210,3.2,3.2,3.8,3.6,3,4.2,1,1,1.666666667
109,593,2.2,3.2,2,2.8,1.4,2,1.8,1.6,1.75
112,2138,5,5,5,5,4,5,0,1,1
114,656,3.2,3.8,4.2,4.2,3,4.8,0.8,0.6,1.5
115,623,3,2.8,3.8,3.2,3,2.6,2,1.4,1.25
116,16634,3,3.8,4.4,4,4,3,1,1,1.2
117,436,2.2,2.4,2.2,2.4,2.6,3,0.4,2.2,1.6
121,3117,2.6,2.6,2.6,2.6,2.2,3.6,2.2,2.4,1.8
122,1098,4.4,3.8,4.4,4.6,4.4,3.2,1,1,1
123,7520,3,4,4,4,3,4,1,1,1
125,4985,3,3.2,4.4,3.8,2.6,3,2.2,2,1
126,207,4.8,3.8,5,5,4.4,4.2,0.8,1,1
127,10419,3.2,2.6,3,4,3,2.6,0,0.8,1
128,2067,1.8,0.8,1.6,1.4,1.4,1.6,0.4,1.6,2
130,4874,4,4.5,5,5,5,4.5,2,1,1
131,4069,1.6,3.6,2.2,2.8,2,2.4,1.4,2.4,1.6
132,608,3,2.2,2.2,4,2,2.2,1.2,1.4,1.2
133,28810,2,1.666666667,4.666666667,3.333333333,4,4,1.666666667,1.333333333,1
135,2672,1.5,1,1.5,1,2,3,3,2,2
136,207,4.4,4.2,3.6,4.4,3.4,2.8,1.2,1,1.2
137,547,2.2,2.4,1.4,2.6,1.4,3.2,1.6,1.4,1.6
141,7564,3.6,3.4,4.2,3.8,3.4,4,1.4,1.6,1.2
144,1115,4.4,4,4.6,4.6,4.4,4.4,1,0.8,1
146,2555,4.4,4.2,4.4,4.6,4.4,4.4,1.6,1.2,1
149,418,2,2.4,2.8,4.2,2.4,3,1.6,1.2,1
156,1281,4,4.6,4.2,4,3.6,3.6,1,1.2,1.2
157,3852,4.2,4.4,4.2,4.4,3.6,3.8,1.8,1.2,1.2
159,478,3.4,3.2,3.2,3.8,3.2,3.4,1.4,0.8,1.2
161,4092,1,4,5,3,2,4,0,0,1
167,14391,4.8,4.8,5,4.8,4.8,5,1,0.8,1
168,1281,4,4.6,4.2,4,3.6,3.6,1,1.2,1.2
171,7914,4.2,4.2,4.6,4,4.6,4.6,0.8,1,1
172,1060,3,3.5,3.5,3.5,3,3,0.5,1,1
173,5376,2.5,3,2.75,3.25,1.75,3.25,1.5,1.25,1.333333333
175,20741,5,5,5,5,5,5,1,1,1
177,1786,5,4.4,4.6,4.8,4.4,4,0.8,0.8,1
180,5850,3,3.6,3.8,3.4,3,4.2,1,1.6,1.2
181,28814,0,0,0,2,0,0,0,0,0
183,359,5,4,4,5,4,3,1,1,1
184,2168,3.666666667,2.666666667,4.666666667,4,0.666666667,4.333333333,0.333333333,1.333333333,1.666666667
186,207,4.6,4.6,4.6,4.6,3.8,3.6,1.4,1.2,1
187,210,3.2,3.2,3.8,3.6,3,4.2,1,1,1.666666667
190,207,3.8,2.8,4,5,3.6,2.6,0.8,0.8,1
191,5628,2.6,2.4,3.4,3.4,1.8,2.4,2.8,2.2,1.333333333
192,713,5,5,5,5,5,4,0,1,1
193,207,4,3.8,4.4,4.2,3.8,3,1,0.6,1
195,115,3.2,3.2,3,4.2,3,2.4,0.6,0.4,1
197,5002,5,5,5,5,5,3,1,0,1
200,158,4.6,4.6,4.8,4.6,4.8,4.4,0.8,0.8,1
203,386,4.5,4,4,4.5,3.5,4.5,3,1.5,1
204,6683,2.333333333,2.666666667,2,3,0,2.333333333,0,0,1.5
208,318,3.333333333,3.666666667,3.666666667,3.666666667,4,3.666666667,2,2,1.333333333
209,313,1.8,2,1.6,2.2,2.2,2.4,1.8,1.4,1.5
211,480,3,3.8,3.8,3.8,3,3.8,1.4,1.4,1.4
212,1766,3,3.2,3.2,3.6,3,3.6,1.2,1.4,1
213,4284,3.2,3.2,3.6,3.8,3.4,3.8,2,1.4,1.666666667
214,626,3.6,3.8,3.4,3.6,3,4,1.8,1.6,1.25
215,682,4.5,5,5,5,4.5,4.5,1,1.5,1
216,19603,5,5,5,5,5,5,1,1,1
217,1547,3.2,3.4,3.4,4.6,3,3.6,0.8,0.6,1
218,28255,4.5,5,5,4.5,4.5,3.5,0,1,1
220,184,3.2,3.6,4.6,4.2,4,4.4,0.4,0.4,1
223,8750,3.4,3.8,3.8,3.6,2.8,3,1,1.6,1.2
226,2872,4.2,4.6,4.2,4.4,4.4,4.6,1.4,1.2,1
227,313,2.2,2.6,3.2,3,2.4,3.4,2.4,2.4,1.8
228,12099,4.25,3.25,4,4.25,4.25,3.75,1,1.25,1.25
236,1281,4,4.6,4.2,4,3.6,3.6,1,1.2,1.2
239,21524,1.6,2,1,2.2,1.2,2,0.6,2,1.8
240,17471,2.6,2.6,2.6,2.6,2.2,3.2,1.6,2,1.6
241,13392,3.4,4,4.2,4.4,3.8,4.8,0.6,1.4,1
244,26787,1,1.333333333,3.666666667,3.333333333,3.333333333,5,1.666666667,1.333333333,1.666666667
245,312,4.4,4.6,4.8,5,4.4,4.8,1,1,1
247,7389,3.2,2.8,3.4,4.6,2.8,3.2,1.2,1.2,1.2
249,16119,5,2,4,5,5,2,0,2,1
252,7716,2.8,2.8,3.2,3,2,2.4,1.4,1,1.75
255,569,3.5,3,3.75,4.25,3.75,4,1.25,1.25,1
257,25387,4.2,4.6,4.4,4.6,4.4,4.4,1.4,1.4,1
261,276,2.8,3.2,3.4,3.4,2.6,4.2,2.4,1.8,1.2
263,16376,5,4.2,4.6,4.4,4.6,2.8,1,1,1
266,2836,5,4,4,5,5,4,1,1,1
267,4644,2.4,1.4,1.8,2.4,1.8,2,2.4,1.8,1.5
269,122,3.6,3.4,3.8,4.2,3.2,3.6,0.8,1,1.25
270,7778,5,4,4,5,4,5,1,1,1
271,304,4,3.6,3,3.6,3.2,2.8,1.6,2,1.4
273,1921,3.6,2.6,3.4,3.8,2.6,3.6,1,1.2,1.2
274,693,5,5,5,5,5,5,1,1,1
275,10874,5,4,5,5,4.666666667,5,1,1,1
277,159,5,4.4,5,4.8,5,4.4,1.4,1,1
278,2151,3.6,2.6,4.2,3,3.8,2.8,2.2,1.6,1.6
284,2112,5,3.5,4.5,5,4.5,5,1,1.5,1
286,15,2.6,2.2,3,4,2.4,2,1,0.8,1.333333333
287,748,5,4.2,4.6,4.6,4.2,4.4,0,1,1
290,774,2.5,3.5,2.5,3,2.5,3.5,1.5,2,1.5
291,9449,2.8,2.6,1.6,2,1.6,2.8,0.4,2.4,2
293,276,3.4,3.6,4,4,3.4,4.2,2.8,2,1
294,339,2,5,3,3,2,2,1,1,1
296,379,4.8,3.2,4.2,4.2,4,3.4,1.8,1.2,1
297,8883,3.8,4.6,4.8,4.8,3.2,4.4,1.8,1.2,1
298,1015,3.4,3,4,3.6,3.2,3,0.2,1,1.5
299,158,4.6,3.4,3.6,3.6,3.4,3,1.4,1.4,1.4
301,690,4.2,4.4,4.6,4.2,3.4,3.8,1.4,1.2,1.25
303,463,4.5,3.333333333,4,4.166666667,3.666666667,3.5,1.166666667,0.833333333,1
306,2474,5,3.75,5,5,4.75,4,0.25,1,1
307,140,4.2,4,3.8,3.8,3,3.8,1,1.2,1
309,375,4,4,4,5,5,4,1,0,1
310,3730,5,5,5,5,5,5,1,1,1
